CASEID	v3	v1	v2	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v17_jp	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46	v47	v48	v49	v50	v51	v52	v53	v54	v55	v56	v57	v58	v59	v60	v61	v62	v63	v64	v65	v66	v67	v68	v69	v70	v71	v72	v73	v74	v75	v76	v77	v78	v79	v80	v81	v82	v83	v84	v84_tw1	v84_tw2	v84_tw3	v85	v86	v87	v88	v89	v90	v91	v92	v93	v94	v95	v96	v97	v98	v99	v100	v101	v102	v103	v104	v105	v106	v107	s1_cjt	s2_cjt	cn_frcap	jp_frcap	tw_frcap	sex	age	marital	relig	topbot	urbrural	cn_reg	jp_reg	kr_reg	tw_reg	happy	happy_kr	educyrs	degree	inschl	wrkst	fullpart	wrkhrs	empcntrt	wrktype	whynowrk	isco88	cn_rinc	jp_rinc	kr_rinc	tw_rinc	cn_rincx	jp_rincx	kr_rincx	tw_rincx	hhdnum	cn_hinc	jp_hinc	kr_hinc	tw_hinc	rltvhinc	weight	spage	spedyrs	spdegr	spinschl	spwrkst	spfullpt	spwrkhrs	spempcnt	spwktype	spnowrk	spisco88	cn_spinc	jp_spinc	kr_spinc	tw_spinc	cn_sincx	jp_sincx	kr_sincx	tw_sincx	paedyrs	padegr	maedyrs	madegr
1	1	2008	1	3	2	2	1	3	2	2	1	2	2	2	1	2	4	 	2	3	5	4	3	3	5	2	4	2	1	4	3	3	3	3	2	5	 	 	 	 	 	3	1	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	2	1	1	1	1	2	 	2	2	2	1	1	2	 	2	2	2	3	3	 	 	 	4	2	5	3	4	4	5	5	3	2	1	1	1	1	1	1	2	1	1	1	3	5	5	2	2	 	 	 	1	60	1	1	8	3	2	 	 	 	3	 	12	4	0	5	 	 	 	 	3	 	 	 	 	 	0	 	 	 	5	100000	 	 	 	2	.554019927978516	60	8	2	0	5	 	 	 	 	3	 	 	 	 	 	 	 	 	 	5	1	0	0
2	2	2008	1	4	1	3	1	1	1	2	2	3	2	3	1	2	6	 	2	3	2	4	3	2	2	2	2	1	1	4	3	2	2	1	3	2	1	2	2	2	2	5	1	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	2	2	 	2	2	1	2	2	2	 	2	1	1	2	2	1	 	2	1	2	2	2	 	 	 	3	6	6	2	2	3	3	5	4	1	1	1	1	1	1	1	2	1	1	1	4	4	4	2	2	 	 	 	2	24	1	7	6	3	2	 	 	 	2	 	12	3	0	3	1	50	 	 	 	5220	60000	 	 	 	 	 	 	 	1	80000	 	 	 	3	2.21607971191406	27	8	2	0	3	1	56	 	 	 	3117	20000	 	 	 	 	 	 	 	8	2	8	2
3	3	2008	1	3	2	1	2	2	1	1	2	3	3	3	2	3	5	 	5	2	2	6	5	2	5	6	5	3	1	4	3	2	4	1	2	5	 	 	 	 	 	7	2	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	1	 	1	1	1	2	1	1	 	1	1	1	2	2	2	 	1	1	2	2	2	 	 	 	2	5	6	6	2	6	2	3	4	2	2	2	2	2	2	1	2	1	2	2	5	5	5	2	2	3	 	 	2	24	1	1	4	3	2	 	 	 	3	 	11	2	0	1	1	63	1	 	 	5123	19000	 	 	 	0	 	 	 	1	30000	 	 	 	2	2.21607971191406	24	8	2	0	3	1	63	 	 	 	7412	11000	 	 	 	 	 	 	 	8	2	8	2
4	4	2008	1	4	2	4	 	4	1	1	3	4	4	4	1	2	3	 	6	2	2	6	2	6	2	1	3	2	1	4	2	4	2	3	4	5	 	 	 	 	 	7	1	2	1	1	2	2	 	2	2	2	2	2	2	 	2	2	2	2	1	1	2	2	2	 	2	1	1	1	1	2	 	1	1	1	1	1	2	 	1	1	1	3	3	 	 	 	6	2	6	2	5	6	1	1	3	1	2	2	2	1	2	2	2	2	2	2	1	1	1	2	2	1	 	 	1	25	5	1	3	3	2	 	 	 	3	 	16	5	0	1	1	50	1	3	 	2444	 	 	 	 	 	 	 	 	2	50000	 	 	 	3	1.10803985595703	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	3	11	3
5	5	2008	1	3	3	3	 	3	1	1	1	2	1	3	1	1	3	 	3	6	6	4	5	3	4	4	4	2	2	4	3	3	3	2	3	4	 	 	 	 	 	3	1	2	2	1	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	2	1	1	1	2	1	 	2	1	1	2	2	1	 	2	1	2	2	3	 	 	 	5	2	5	2	2	 	5	3	3	2	2	1	1	1	1	1	2	1	1	1	4	3	4	2	2	1	 	 	1	26	5	1	5	3	2	 	 	 	2	 	15	5	0	1	2	34	1	3	 	4112	45000	 	 	 	0	 	 	 	1	40000	 	 	 	3	2.21607971191406	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	4	11	3
6	6	2008	1	3	2	2	2	4	1	1	2	1	2	3	2	1	1	 	2	4	5	4	3	3	3	5	4	2	2	4	3	3	3	2	2	5	 	 	 	 	 	3	1	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	2	1	1	1	1	1	 	2	1	2	1	1	1	 	2	1	2	2	3	 	 	 	5	2	6	2	2	 	3	2	3	1	1	2	1	2	1	1	2	2	1	1	5	5	5	2	2	 	 	 	2	42	1	1	3	3	2	 	 	 	3	 	13	3	0	5	 	 	 	 	4	 	 	 	 	 	0	 	 	 	3	38000	 	 	 	2	1.10803985595703	42	11	3	0	1	1	40	1	3	 	 	32000	 	 	 	 	 	 	 	5	1	5	1
7	7	2008	1	3	3	4	1	2	2	2	2	3	2	3	2	2	5	 	2	2	3	6	2	2	3	3	2	2	2	4	2	3	3	3	1	4	 	 	 	 	 	3	1	2	1	1	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	2	1	1	1	2	1	 	2	2	1	1	2	1	 	2	2	1	3	3	 	 	 	4	2	6	3	5	6	1	1	2	2	2	2	2	2	2	2	2	1	1	1	3	4	4	2	2	1	 	 	2	38	1	1	6	3	2	 	 	 	3	 	16	5	0	1	1	40	1	3	 	2411	48000	 	 	 	0	 	 	 	4	70000	 	 	 	2	.738693237304688	41	10	3	0	1	1	48	1	3	 	5220	22000	 	 	 	 	 	 	 	8	2	8	2
8	8	2008	1	4	4	4	2	4	1	1	3	2	3	4	1	1	4	 	4	4	5	5	4	4	5	3	4	2	1	3	4	4	4	3	2	5	 	 	 	 	 	2	1	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	1	 	2	1	1	1	2	1	 	2	1	2	2	2	1	 	2	2	2	2	3	 	 	 	5	4	5	2	3	2	3	4	2	2	1	1	1	2	2	1	2	1	2	1	5	5	5	2	2	1	 	 	2	59	1	1	4	3	2	 	 	 	3	 	13	3	0	1	1	40	1	1	 	1130	13000	 	 	 	0	 	 	 	2	36000	 	 	 	2	1.10803985595703	60	14	4	0	5	 	 	 	 	3	 	 	 	 	 	 	 	 	 	5	1	0	0
9	9	2008	1	4	3	3	2	3	2	1	1	2	1	2	1	1	3	 	4	4	4	4	3	3	3	3	4	1	1	4	3	5	5	3	2	4	 	 	 	 	 	3	1	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	1	1	1	1	1	1	 	1	2	1	2	2	1	 	1	2	1	3	3	 	 	 	5	2	4	2	4	3	5	4	3	2	1	2	2	2	1	2	2	2	1	2	5	5	5	2	2	 	 	 	2	72	1	1	6	3	2	 	 	 	3	 	0	0	0	5	 	 	 	 	4	 	 	 	 	 	0	 	 	 	2	36000	 	 	 	3	1.10803985595703	80	 	 	0	5	 	 	 	 	3	 	 	 	 	 	 	 	 	 	0	0	0	0
10	10	2008	1	4	3	3	2	3	1	1	1	2	1	2	2	1	3	 	4	5	5	4	3	3	3	5	4	1	1	3	2	2	2	3	3	4	 	 	 	 	 	3	1	2	1	1	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	2	1	1	1	2	1	 	2	1	1	2	2	1	 	2	1	2	3	3	 	 	 	5	3	6	3	3	 	1	1	2	2	2	2	2	2	1	1	2	2	2	1	5	5	5	2	2	 	 	 	1	53	1	2	4	3	2	 	 	 	3	 	16	4	0	5	 	 	 	 	3	 	 	 	 	 	0	 	 	 	3	39000	 	 	 	2	.738693237304688	50	11	3	0	5	 	 	 	 	3	 	 	 	 	 	 	 	 	 	8	2	10	3
